term,date,rank,estimated_search_volume
colored pencils,2024-07-13,213,23638.0
colored pencils,2024-07-27,76,42572.0
colored pencils,2024-08-03,53,51700.0
colored pencils,2024-08-10,47,55085.0
colored pencils,2024-08-17,55,50692.0
colored pencils,2024-08-24,95,37636.0
colored pencils,2024-08-31,151,28924.0
combination lock for locker,2024-04-13,38357,580.0
combination lock for locker,2024-04-20,37258,594.0
combination lock for locker,2024-04-27,40514,554.0
combination lock for locker,2024-05-04,43089,526.0
combination lock for locker,2024-05-11,43100,526.0
combination lock for locker,2024-05-18,44489,512.0
combination lock for locker,2024-05-25,41844,539.0
combination lock for locker,2024-06-01,47481,485.0
combination lock for locker,2024-06-08,36070,610.0
combination lock for locker,2024-06-15,33289,652.0
combination lock for locker,2024-06-22,34052,640.0
combination lock for locker,2024-06-29,33881,643.0
combination lock for locker,2024-07-06,31582,681.0
combination lock for locker,2024-07-13,23699,862.0
combination lock for locker,2024-07-27,13692,1335.0
combination lock for locker,2024-08-03,8388,1951.0
combination lock for locker,2024-08-10,5272,2768.0
combination lock for locker,2024-08-17,3953,3421.0
combination lock for locker,2024-08-24,4768,2982.0
combination lock for locker,2024-08-31,6797,2289.0
comedies,2024-04-13,146162,183.0
comedies,2024-04-20,159645,169.0
comedies,2024-04-27,165077,164.0
comedies,2024-05-04,186767,147.0
comedies,2024-05-11,204939,135.0
comedies,2024-05-18,187516,146.0
comedies,2024-05-25,188082,146.0
comedies,2024-06-01,139061,191.0
comedies,2024-06-08,150956,178.0
comedies,2024-06-15,66643,364.0
comedies,2024-06-22,44745,510.0
comedies,2024-06-29,46896,490.0
comedies,2024-07-06,39448,567.0
comedies,2024-07-13,46413,494.0
comedies,2024-07-27,49632,467.0
comedies,2024-08-03,12162,1465.0
comedies,2024-08-10,24205,847.0
comedies,2024-08-17,3501,3736.0
comedies,2024-08-24,1284,7542.0
comedies,2024-08-31,1115,8294.0
composition book,2024-04-13,216991,128.0
composition book,2024-04-20,270487,105.0
composition book,2024-04-27,210863,131.0
composition book,2024-05-04,268868,105.0
composition book,2024-05-11,260604,108.0
composition book,2024-05-18,224313,124.0
composition book,2024-05-25,214095,130.0
composition book,2024-06-01,199355,138.0
composition book,2024-06-08,170934,159.0
composition book,2024-06-15,194162,142.0
composition book,2024-06-22,174672,156.0
composition book,2024-06-29,133890,198.0
composition book,2024-07-06,114640,227.0
composition book,2024-07-13,65961,367.0
composition book,2024-07-27,39921,561.0
composition book,2024-08-03,30876,694.0
composition book,2024-08-10,23121,879.0
composition book,2024-08-17,20214,980.0
composition book,2024-08-24,26208,794.0
composition book,2024-08-31,38263,581.0
composition books,2024-04-13,123919,212.0
composition books,2024-04-20,121154,216.0
composition books,2024-04-27,131635,201.0
composition books,2024-05-04,122602,214.0
composition books,2024-05-11,130185,203.0
composition books,2024-05-18,109409,236.0
composition books,2024-05-25,112252,231.0
composition books,2024-06-01,115821,225.0
composition books,2024-06-08,87808,287.0
composition books,2024-06-15,98585,259.0
composition books,2024-06-22,91742,276.0
composition books,2024-06-29,80140,310.0
composition books,2024-07-06,64921,372.0
composition books,2024-07-13,42531,532.0
composition books,2024-07-27,19377,1013.0
composition books,2024-08-03,13411,1357.0
composition books,2024-08-10,10578,1633.0
composition books,2024-08-17,12690,1417.0
composition books,2024-08-24,18154,1068.0
composition books,2024-08-31,28336,745.0
composition notebook,2024-04-13,8473,1936.0
composition notebook,2024-04-20,8712,1896.0
composition notebook,2024-04-27,8759,1888.0
composition notebook,2024-05-04,9019,1846.0
composition notebook,2024-05-11,8572,1919.0
composition notebook,2024-05-18,7520,2121.0
composition notebook,2024-05-25,6427,2387.0
composition notebook,2024-06-01,6230,2444.0
composition notebook,2024-06-08,4999,2879.0
composition notebook,2024-06-15,4643,3041.0
composition notebook,2024-06-22,3758,3549.0
composition notebook,2024-06-29,2617,4603.0
composition notebook,2024-07-06,1576,6558.0
composition notebook,2024-07-13,663,11682.0
composition notebook,2024-07-27,244,21794.0
composition notebook,2024-08-03,120,32999.0
composition notebook,2024-08-10,66,45968.0
composition notebook,2024-08-17,61,47962.0
composition notebook,2024-08-24,124,32389.0
composition notebook,2024-08-31,236,22234.0
composition notebook college rule,2024-04-13,92155,275.0
composition notebook college rule,2024-04-20,107372,240.0
composition notebook college rule,2024-04-27,106597,242.0
composition notebook college rule,2024-05-04,101903,252.0
composition notebook college rule,2024-05-11,103500,248.0
composition notebook college rule,2024-05-18,101997,251.0
composition notebook college rule,2024-05-25,96854,263.0
composition notebook college rule,2024-06-01,103346,248.0
composition notebook college rule,2024-06-08,85447,293.0
composition notebook college rule,2024-06-15,87752,287.0
composition notebook college rule,2024-06-22,78741,315.0
composition notebook college rule,2024-06-29,57325,414.0
composition notebook college rule,2024-07-06,42132,536.0
composition notebook college rule,2024-07-13,24063,851.0
composition notebook college rule,2024-07-27,9940,1713.0
composition notebook college rule,2024-08-03,5123,2827.0
composition notebook college rule,2024-08-10,3167,4016.0
composition notebook college rule,2024-08-17,2335,4989.0
composition notebook college rule,2024-08-24,3278,3918.0
composition notebook college rule,2024-08-31,5103,2836.0
composition notebooks,2024-04-13,118639,220.0
composition notebooks,2024-04-20,115381,226.0
composition notebooks,2024-04-27,118107,221.0
composition notebooks,2024-05-04,114986,226.0
composition notebooks,2024-05-11,110701,234.0
composition notebooks,2024-05-18,105905,243.0
composition notebooks,2024-05-25,91265,277.0
composition notebooks,2024-06-01,88941,283.0
composition notebooks,2024-06-08,78768,315.0
composition notebooks,2024-06-15,82988,301.0
composition notebooks,2024-06-22,73194,335.0
composition notebooks,2024-06-29,56950,416.0
composition notebooks,2024-07-06,47569,484.0
composition notebooks,2024-07-13,25946,800.0
composition notebooks,2024-07-27,14961,1245.0
composition notebooks,2024-08-03,13003,1390.0
composition notebooks,2024-08-10,11940,1486.0
composition notebooks,2024-08-17,12756,1411.0
composition notebooks,2024-08-24,16854,1133.0
composition notebooks,2024-08-31,23685,862.0
composition notebook wide ruled,2024-04-13,149592,179.0
composition notebook wide ruled,2024-04-20,159243,169.0
composition notebook wide ruled,2024-04-27,140354,190.0
composition notebook wide ruled,2024-05-04,139306,191.0
composition notebook wide ruled,2024-05-11,165325,164.0
composition notebook wide ruled,2024-05-18,120275,217.0
composition notebook wide ruled,2024-05-25,90373,279.0
composition notebook wide ruled,2024-06-01,67735,359.0
composition notebook wide ruled,2024-06-08,51092,456.0
composition notebook wide ruled,2024-06-15,46947,490.0
composition notebook wide ruled,2024-06-22,33025,657.0
composition notebook wide ruled,2024-06-29,20871,955.0
composition notebook wide ruled,2024-07-06,13635,1339.0
composition notebook wide ruled,2024-07-13,6134,2472.0
composition notebook wide ruled,2024-07-27,2256,5111.0
composition notebook wide ruled,2024-08-03,1469,6882.0
composition notebook wide ruled,2024-08-10,1137,8186.0
composition notebook wide ruled,2024-08-17,1603,6482.0
composition notebook wide ruled,2024-08-24,2650,4562.0
composition notebook wide ruled,2024-08-31,4164,3293.0
condor,2024-04-13,76059,325.0
condor,2024-04-20,76398,323.0
condor,2024-04-27,72007,340.0
condor,2024-05-04,76477,323.0
condor,2024-05-11,89364,282.0
condor,2024-05-18,85487,293.0
condor,2024-05-25,74229,331.0
condor,2024-06-01,64188,375.0
condor,2024-06-08,66701,363.0
condor,2024-06-15,82253,303.0
condor,2024-06-22,69563,350.0
condor,2024-06-29,76219,324.0
condor,2024-07-06,20940,952.0
condor,2024-07-13,5973,2522.0
condor,2024-07-27,2570,4662.0
condor,2024-08-03,4552,3085.0
condor,2024-08-10,14987,1243.0
condor,2024-08-17,22579,896.0
condor,2024-08-24,32865,659.0
condor,2024-08-31,39036,572.0
contact lens applicator tool,2024-04-13,47483,485.0
contact lens applicator tool,2024-04-20,31793,678.0
contact lens applicator tool,2024-04-27,24055,851.0
contact lens applicator tool,2024-05-04,27303,768.0
contact lens applicator tool,2024-05-11,34983,626.0
contact lens applicator tool,2024-05-18,53765,437.0
contact lens applicator tool,2024-05-25,56380,419.0
contact lens applicator tool,2024-06-01,56999,416.0
contact lens applicator tool,2024-06-08,54072,435.0
contact lens applicator tool,2024-06-15,55389,426.0
contact lens applicator tool,2024-06-22,52525,445.0
contact lens applicator tool,2024-06-29,54936,429.0
contact lens applicator tool,2024-07-06,52094,449.0
contact lens applicator tool,2024-07-13,25647,808.0
contact lens applicator tool,2024-07-27,169,27091.0
contact lens applicator tool,2024-08-03,868,9797.0
contact lens applicator tool,2024-08-10,318,18557.0
contact lens applicator tool,2024-08-17,16,94443.0
contact lens applicator tool,2024-08-24,56,50208.0
contact lens applicator tool,2024-08-31,113,34142.0
continuum,2024-04-13,156280,172.0
continuum,2024-04-20,152541,176.0
continuum,2024-04-27,131635,201.0
continuum,2024-05-04,151212,177.0
continuum,2024-05-11,147878,181.0
continuum,2024-05-18,145650,183.0
continuum,2024-05-25,149463,179.0
continuum,2024-06-01,129238,204.0
continuum,2024-06-08,175879,155.0
continuum,2024-06-15,176983,154.0
continuum,2024-06-22,171700,158.0
continuum,2024-06-29,151495,177.0
continuum,2024-07-06,149786,179.0
continuum,2024-07-13,171739,158.0
continuum,2024-07-27,214672,129.0
continuum,2024-08-03,137318,193.0
continuum,2024-08-10,33591,647.0
continuum,2024-08-17,22890,886.0
continuum,2024-08-24,12928,1397.0
continuum,2024-08-31,6243,2440.0
converse backpack,2024-04-13,154116,174.0
converse backpack,2024-04-20,149054,180.0
converse backpack,2024-04-27,153313,175.0
converse backpack,2024-05-04,148157,181.0
converse backpack,2024-05-11,156528,172.0
converse backpack,2024-05-18,130574,202.0
converse backpack,2024-05-25,123783,212.0
converse backpack,2024-06-01,107755,240.0
converse backpack,2024-06-08,82125,304.0
converse backpack,2024-06-15,66237,366.0
converse backpack,2024-06-22,47763,483.0
converse backpack,2024-06-29,39482,566.0
converse backpack,2024-07-06,18409,1056.0
converse backpack,2024-07-13,10415,1652.0
converse backpack,2024-07-27,7739,2075.0
converse backpack,2024-08-03,6412,2392.0
converse backpack,2024-08-10,7175,2197.0
converse backpack,2024-08-17,10077,1695.0
converse backpack,2024-08-24,15344,1220.0
converse backpack,2024-08-31,23432,870.0
coraline,2024-04-13,2053,5461.0
coraline,2024-04-20,2047,5472.0
coraline,2024-04-27,1563,6596.0
coraline,2024-05-04,1966,5628.0
coraline,2024-05-11,1925,5711.0
coraline,2024-05-18,1130,8220.0
coraline,2024-05-25,1020,8803.0
coraline,2024-06-01,932,9347.0
coraline,2024-06-08,878,9724.0
coraline,2024-06-15,468,14593.0
coraline,2024-06-22,484,14286.0
coraline,2024-06-29,810,10253.0
coraline,2024-07-06,464,14672.0
coraline,2024-07-13,502,13960.0
coraline,2024-07-27,720,11073.0
coraline,2024-08-03,600,12458.0
coraline,2024-08-10,498,14031.0
coraline,2024-08-17,312,18775.0
coraline,2024-08-24,91,38548.0
coraline,2024-08-31,42,58419.0
coraline merchandise,2024-04-13,152437,176.0
