term,asin,title,category,subcategory,brand,list_price_amount,list_price_currency,image_url
school backpack for girls,B0D2H1DX6C,"McBecdy School Backpacks for Girls, Middle Schoolbag Elementary Student Bookbag, Large Casual School Daypacks for Teens Girls (White)",Other,Luggage,McBecdy,39.99,USD,https://m.media-amazon.com/images/I/31qvYnflcIL._SL75_.jpg
school backpack for teens,B0B7RF42SF,"UIXIZQ Teens Girls School Backpack Travel Backpack College Laptop Backpacks, 18 Inch Durable Water Resistant Bookbags for Boys Girls Students Women (Beige)",Apparel,Luggage,UIXIZQ,69.99,USD,https://m.media-amazon.com/images/I/417NWWfTzsL._SL75_.jpg
school backpacks,B06XZTZ7GB,"MATEIN Travel Laptop Backpack, Business Anti Theft Slim Sturdy Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gift for Men & Women Fits 15.6 Inch Notebook, Grey",Personal Computers,Personal Computer,MATEIN,39.96,USD,https://m.media-amazon.com/images/I/51grvfywmKL._SL75_.jpg
school backpacks,B0BC93R1DF,"Solid Color School Backpack for Teen Girls, Multi-pocket Elementary Middle School Girls Kids Backpacks, Lightweight Casual Daypack",Unknown Binding,Luggage,Bansusu,25.8,USD,https://m.media-amazon.com/images/I/41JaZ+hs26L._SL75_.jpg
school backpacks,B0D2Q61QF4,"ZORFIN 26L Black Backpack for School, College, and Travel: Water Resistant Bookbag with 8 Compartments",Apparel,Luggage,ZORFIN,35.99,USD,https://m.media-amazon.com/images/I/410kvTXJDLL._SL75_.jpg
school folders,B003O3IUT8,"Five Star 2 Pocket Folder, Stay-Put Folder, Plastic Colored Folders with Pockets & Prong Fasteners for 3-Ring Binders, Great for Home School Supplies & Home Office, 11” x 8-1/2, Black (72113)",Office Product,Office Product,Five Star,4.99,USD,https://m.media-amazon.com/images/I/51dHp2DthFL._SL75_.jpg
school folders,B01E0E8FFS,"Five Star 4 Pocket Folders, 6 Pack, Paper Folders, Fits 3-Ring Binders, Holds 8-1/2"" x 11"" Paper, Writable Label, Tidewater Blue, Harvest Yellow, Amethyst Purple, Forest Green, Fire Red, Black (38056)",Office Product,Office Product,Five Star,18.49,USD,https://m.media-amazon.com/images/I/517kVjlKTGL._SL75_.jpg
school folders,B07K91GV6N,"Amazon Basics Heavy Duty Plastic Folders with 2 Pockets for Letter Size Paper, Pack of 12, Assorted Color",Office Product,Office Product,Amazon Basics,14.99,USD,https://m.media-amazon.com/images/I/41iVOQCyzrL._SL75_.jpg
school folders,B07WRHX1RC,Five Star Spiral Notebooks (6 Pack) and Folders (6 Pack) Bundle,Product Bundle,Office Product,Five Star,,,https://m.media-amazon.com/images/I/41onADFjrdL._SL75_.jpg
school folders,B09GW7ZJSR,"HABGP Plastic Folders with Pockets, 6 Color Heavy Duty Two Pocket Folder Business Card Holder for Office High School",Unknown Binding,Office Product,habgp,8.99,USD,https://m.media-amazon.com/images/I/418quW9SOIL._SL75_.jpg
school folders,B0BMZWD6NK,"SUNEE 2 Pocket Folders (6 Pack, Pastel Colors) Heavy-Duty Plastic Folders with Pockets, Fit 8.5x11 Letter Size Paper, 2-Pocket File Folders for Kids, Home, School, Office",Other,Office Product,SUNEE,19.99,USD,https://m.media-amazon.com/images/I/31az4T-T+mL._SL75_.jpg
school folders,B0BXDF124J,"HABGP 6 Pack Colored File Folders with Pockets and Business Card Holder, Pastel Decorative Pocket Folders for Documents, Cute Plastic Folders for Filing Cabinet, School, Office, Resume Portfolio",Office Product,Office Product,habgp,6.99,USD,https://m.media-amazon.com/images/I/41+aE+XnzAL._SL75_.jpg
school folders,B0C4PCFXTX,"EOOUT 6pcs Folders with Pockets 3 Hole Punched, Folders Fit in 3 Ring Binder, Plastic Pocket Folder, Heavy Duty Folders with 4 Pockets for Office and School, Letter Size, 6 Assorted Retro Colors",Office Product,Office Product,EOOUT,7.99,USD,https://m.media-amazon.com/images/I/41G6vO5J39L._SL75_.jpg
school folders,B0C5N55NQJ,"Mr. Pen- Pocket Folders, 4 Pocket, 4 Pack, Pastel Colors, Folders with Pockets 3 Hole Punched, Folders, Folders for School, Folders with Pockets, Binder Folders, Pocket Folders for 3 Ring Binder",Office Product,Office Product,Mr. Pen,14.99,USD,https://m.media-amazon.com/images/I/31axk9hWcML._SL75_.jpg
